Index,Before,After,Bit,Diff
409576,193,192,0,-1
15066,85,84,0,-1
604093,81,80,0,-1
640998,95,94,0,-1
609758,213,212,0,-1
14493,83,82,0,-1
734906,205,204,0,-1
447248,177,176,0,-1
409851,125,124,0,-1
150872,83,82,0,-1
631165,29,28,0,-1
90189,71,70,0,-1
776846,221,220,0,-1
402841,11,10,0,-1
715324,125,124,0,-1
368197,23,22,0,-1
230104,131,130,0,-1
452595,141,140,0,-1
145471,37,36,0,-1
678228,155,154,0,-1
682031,219,218,0,-1
492331,49,48,0,-1
769820,177,176,0,-1
512648,157,156,0,-1
229196,111,110,0,-1
67928,95,94,0,-1
773639,223,222,0,-1
566644,119,118,0,-1
364638,59,58,0,-1
292389,157,156,0,-1
481028,179,178,0,-1
517764,115,114,0,-1
66790,99,98,0,-1
528674,171,170,0,-1
541527,155,154,0,-1
11514,93,92,0,-1
440973,123,122,0,-1
468790,67,66,0,-1
195116,85,84,0,-1
504142,61,60,0,-1
644038,79,78,0,-1
367415,109,108,0,-1
775803,121,120,0,-1
463220,209,208,0,-1
604677,105,104,0,-1
779878,127,126,0,-1
76433,157,156,0,-1
175921,111,110,0,-1
263215,15,14,0,-1
417281,243,242,0,-1
757065,87,86,0,-1
480698,209,208,0,-1
312830,211,210,0,-1
320143,15,14,0,-1
543652,139,138,0,-1
508003,53,52,0,-1
393159,131,130,0,-1
240528,189,188,0,-1
32027,139,138,0,-1
535964,209,208,0,-1
560573,211,210,0,-1
656718,187,186,0,-1
133307,189,188,0,-1
412367,221,220,0,-1
594154,23,22,0,-1
134955,113,112,0,-1
183448,33,32,0,-1
143565,79,78,0,-1
652182,67,66,0,-1
637783,79,78,0,-1
41592,117,116,0,-1
210788,115,114,0,-1
212493,73,72,0,-1
506498,153,152,0,-1
640065,91,90,0,-1
548426,175,174,0,-1
262193,129,128,0,-1
550556,217,216,0,-1
390640,51,50,0,-1
685695,129,128,0,-1
277394,219,218,0,-1
552358,153,152,0,-1
401717,219,218,0,-1
566384,221,220,0,-1
457140,171,170,0,-1
189203,93,92,0,-1
490375,195,194,0,-1
163311,181,180,0,-1
423455,115,114,0,-1
127708,29,28,0,-1
514403,211,210,0,-1
123641,221,220,0,-1
735395,225,224,0,-1
196423,149,148,0,-1
318333,103,102,0,-1
272123,197,196,0,-1
554781,81,80,0,-1
247353,57,56,0,-1
303640,23,22,0,-1
566040,131,130,0,-1
685887,171,170,0,-1
129817,103,102,0,-1
445507,63,62,0,-1
704407,83,82,0,-1
449626,27,26,0,-1
177835,97,96,0,-1
413341,159,158,0,-1
674293,15,14,0,-1
516279,81,80,0,-1
49938,109,108,0,-1
335165,119,118,0,-1
85885,59,58,0,-1
552885,129,128,0,-1
501282,115,114,0,-1
304672,21,20,0,-1
588462,95,94,0,-1
234899,243,242,0,-1
292861,39,38,0,-1
25437,97,96,0,-1
249871,33,32,0,-1
637627,73,72,0,-1
727659,113,112,0,-1
363095,85,84,0,-1
256609,121,120,0,-1
146985,59,58,0,-1
74324,83,82,0,-1
495904,125,124,0,-1
686419,15,14,0,-1
466160,125,124,0,-1
736525,103,102,0,-1
559106,177,176,0,-1
558306,143,142,0,-1
614439,77,76,0,-1
595641,197,196,0,-1
454124,243,242,0,-1
112671,61,60,0,-1
191578,55,54,0,-1
637466,161,160,0,-1
86121,97,96,0,-1
407124,83,82,0,-1
757363,141,140,0,-1
441845,241,240,0,-1
621900,69,68,0,-1
578116,125,124,0,-1
757559,183,182,0,-1
752547,97,96,0,-1
709457,175,174,0,-1
42965,139,138,0,-1
722908,79,78,0,-1
354445,17,16,0,-1
761958,107,106,0,-1
218864,213,212,0,-1
174014,133,132,0,-1
306816,55,54,0,-1
189080,235,234,0,-1
561764,225,224,0,-1
283099,9,8,0,-1
775862,203,202,0,-1
58294,53,52,0,-1
221278,109,108,0,-1
50098,123,122,0,-1
748361,191,190,0,-1
732221,221,220,0,-1
679990,113,112,0,-1
258445,23,22,0,-1
323459,211,210,0,-1
640967,193,192,0,-1
109812,93,92,0,-1
566494,211,210,0,-1
784478,223,222,0,-1
162615,79,78,0,-1
271463,215,214,0,-1
777780,97,96,0,-1
502232,207,206,0,-1
339900,83,82,0,-1
554951,185,184,0,-1
493212,111,110,0,-1
401489,87,86,0,-1
226557,93,92,0,-1
416825,139,138,0,-1
368632,161,160,0,-1
741240,107,106,0,-1
685600,91,90,0,-1
622988,225,224,0,-1
747480,93,92,0,-1
510672,169,168,0,-1
585202,129,128,0,-1
457814,201,200,0,-1
65029,19,18,0,-1
694524,77,76,0,-1
422710,67,66,0,-1
747063,91,90,0,-1
650973,107,106,0,-1
43949,219,218,0,-1
460120,151,150,0,-1
542564,163,162,0,-1
103489,77,76,0,-1
344908,135,134,0,-1
636973,123,122,0,-1
180019,45,44,0,-1
645483,79,78,0,-1
264388,65,64,0,-1
485337,131,130,0,-1
43714,95,94,0,-1
399875,113,112,0,-1
31856,159,158,0,-1
382467,73,72,0,-1
731531,203,202,0,-1
758719,97,96,0,-1
191346,145,144,0,-1
340703,205,204,0,-1
24873,63,62,0,-1
648590,199,198,0,-1
746293,85,84,0,-1
673386,145,144,0,-1
693796,117,116,0,-1
612432,75,74,0,-1
648761,199,198,0,-1
119656,129,128,0,-1
121414,101,100,0,-1
126908,229,228,0,-1
754799,209,208,0,-1
638647,109,108,0,-1
505452,107,106,0,-1
593314,75,74,0,-1
429920,199,198,0,-1
324181,53,52,0,-1
402902,113,112,0,-1
43604,147,146,0,-1
331275,81,80,0,-1
171567,79,78,0,-1
170555,129,128,0,-1
87198,121,120,0,-1
269098,113,112,0,-1
764394,109,108,0,-1
708443,197,196,0,-1
729634,143,142,0,-1
465689,171,170,0,-1
720191,171,170,0,-1
134535,121,120,0,-1
102188,219,218,0,-1
574216,21,20,0,-1
339774,111,110,0,-1
500334,87,86,0,-1
767271,91,90,0,-1
489277,133,132,0,-1
501559,29,28,0,-1
604347,147,146,0,-1
458241,111,110,0,-1
35198,133,132,0,-1
592717,25,24,0,-1
137103,103,102,0,-1
265300,17,16,0,-1
153607,115,114,0,-1
293350,205,204,0,-1
745459,91,90,0,-1
628678,83,82,0,-1
643420,19,18,0,-1
767629,127,126,0,-1
438024,87,86,0,-1
309715,121,120,0,-1
374308,23,22,0,-1
358721,211,210,0,-1
353859,65,64,0,-1
351962,163,162,0,-1
759824,223,222,0,-1
379581,79,78,0,-1
778676,199,198,0,-1
162146,217,216,0,-1
225373,27,26,0,-1
455811,69,68,0,-1
298403,93,92,0,-1
227534,133,132,0,-1
322735,127,126,0,-1
783902,207,206,0,-1
617328,67,66,0,-1
397666,141,140,0,-1
494531,209,208,0,-1
185441,109,108,0,-1
443180,221,220,0,-1
394337,143,142,0,-1
399420,71,70,0,-1
655373,231,230,0,-1
8210,99,98,0,-1
760309,17,16,0,-1
157931,177,176,0,-1
447005,173,172,0,-1
628000,15,14,0,-1
637964,181,180,0,-1
559654,127,126,0,-1
43093,105,104,0,-1
66956,221,220,0,-1
200167,35,34,0,-1
235139,235,234,0,-1
524754,157,156,0,-1
397420,29,28,0,-1
293597,183,182,0,-1
743323,107,106,0,-1
528476,223,222,0,-1
16884,53,52,0,-1
227700,131,130,0,-1
377926,45,44,0,-1
69180,165,164,0,-1
44052,167,166,0,-1
422135,193,192,0,-1
608763,103,102,0,-1
467279,185,184,0,-1
188229,121,120,0,-1
219500,245,244,0,-1
258738,81,80,0,-1
639344,199,198,0,-1
333269,233,232,0,-1
329571,115,114,0,-1
65599,203,202,0,-1
583443,61,60,0,-1
743399,97,96,0,-1
566162,219,218,0,-1
61228,209,208,0,-1
695979,101,100,0,-1
549335,199,198,0,-1
706398,87,86,0,-1
